,Q,A
23,서울 강남구 역삼동,"병원명은 강남코모키이비인후과의원 주소는 서울특별시 강남구 강남대로 378, (역삼동, 준빌딩 4층) 전화번호는 02-508-0075 입니다."
24,서울 강남구 역삼동,"병원명은 강남통쾌의원 주소는 서울특별시 강남구 논현로86길 16, 제포빌딩 1층 (역삼동) 전화번호는 02-554-7979 입니다."
25,서울 강남구 대치동,"병원명은 강창순내과의원 주소는 서울특별시 강남구 남부순환로 2941, 201호 (대치동) 전화번호는 02-569-9777 입니다."
26,서울 강남구 대치동,"병원명은 경희토정한의원 주소는 서울특별시 강남구 삼성로 212, 2층 235호 (대치동, 은마아파트) 전화번호는 02-555-8420 입니다."
27,서울 강남구 대치동,"병원명은 고시환의원 주소는 서울특별시 강남구 남부순환로 2936, 304호 (대치동) 전화번호는 02-566-9110 입니다."
28,서울 강남구 역삼동,"병원명은 골드만비뇨기과의원 주소는 서울특별시 강남구 강남대로 320, 8층 (역삼동) 전화번호는 02-556-7533 입니다."
29,서울 강남구 청담동,"병원명은 광지의원 주소는 서울특별시 강남구 학동로97길 15, 1층 (청담동) 전화번호는 02-546-6045 입니다."
30,서울 강남구 청담동,"병원명은 광지한의원 주소는 서울특별시 강남구 학동로97길 15, 1층 (청담동) 전화번호는 02-546-6045 입니다."
31,서울 강남구 대치동,"병원명은 굿닥터이비인후과의원 주소는 서울특별시 강남구 도곡로 449, 2층 202호 (대치동) 전화번호는 02-553-8840 입니다."
32,서울 강남구 논현동,"병원명은 굿모닝소아청소년과의원 주소는 서울특별시 강남구 선릉로129길 22, 고영빌딩 2,4층 (논현동) 전화번호는 02-545-5834 입니다."
33,서울 강남구 대치동,"병원명은 굿모닝의원 주소는 서울특별시 강남구 삼성로 212, (대치동, 은마상가 A블럭 212-1) 전화번호는 02-561-7533 입니다."
34,서울 강남구 신사동,"병원명은 그린몰의원 주소는 서울특별시 강남구 도산대로 107, BIO, 5층일부, 7층, 8층일부 (신사동) 전화번호는 02-517-9122 입니다."
35,서울 강남구 청담동,"병원명은 그린소아청소년과의원 주소는 서울특별시 강남구 영동대로137길 3, 2층 일부 (청담동) 전화번호는 02-518-0578 입니다."
36,서울 강남구 도곡동,"병원명은 글로벌케어내과의원 주소는 서울특별시 강남구 언주로30길 39, 린스퀘어, 4층일부 (도곡동) 전화번호는 02-2058-1198 입니다."
37,서울 강남구 역삼동,"병원명은 김미진내과의원 주소는 서울특별시 강남구 역삼로 306, 4층 404~406호 (역삼동, 개나리래미안아파트) 전화번호는 02-568-1312 입니다."
38,서울 강남구 역삼동,"병원명은 김민정한의원 주소는 서울특별시 강남구 논현로87길 41, 신일유토빌 209호 (역삼동) 전화번호는 02-566-9144 입니다."
39,서울 강남구 논현동,"병원명은 김성민이비인후과의원 주소는 서울특별시 강남구 봉은사로 205, 2층 (논현동) 전화번호는 02-541-5252 입니다."
40,서울 강남구 대치동,"병원명은 김영기이비인후과의원 주소는 서울특별시 강남구 남부순환로 2941, 503호 (대치동, 대치탑프라자) 전화번호는 02-554-5075 입니다."
41,서울 강남구 신사동,"병원명은 김영찬내과의원 주소는 서울특별시 강남구 도산대로 333, K+ 메디칼타워 5층 (신사동) 전화번호는 02-3444-8875 입니다."
42,서울 강남구 도곡동,"병원명은 김용재이비인후과의원 주소는 서울특별시 강남구 언주로30길 39, 린스퀘어 4층 (도곡동) 전화번호는 02-529-2356 입니다."
43,서울 강남구 개포동,"병원명은 김재유내과의원 주소는 서울특별시 강남구 개포로 615, 305호 (개포동) 전화번호는 02-459-4597 입니다."
44,서울 강남구 역삼동,"병원명은 김정국한의원 주소는 서울특별시 강남구 봉은사로 108, 3층 (역삼동) 전화번호는 02-552-8878 입니다."
45,서울 강남구 논현동,"병원명은 김주룡이비인후과의원 주소는 서울특별시 강남구 선릉로 669, (논현동, 402호) 전화번호는 02-548-1805 입니다."
46,서울 강남구 도곡동,"병원명은 김태욱외과의원 주소는 서울특별시 강남구 언주로30길 39, (도곡동, 4층일부) 전화번호는 02-578-9881 입니다."
47,서울 강남구 대치동,"병원명은 김현지내과의원 주소는 서울특별시 강남구 역삼로 536, 3층 301호 (대치동, 동성빌딩) 전화번호는 02-508-5461 입니다."
48,서울 강남구 개포동,"병원명은 김호중이비인후과의원 주소는 서울특별시 강남구 삼성로 38, 개포빌딩 3층 302호 (개포동) 전화번호는 02-3412-0107 입니다."
49,서울 강남구 삼성동,"병원명은 나가정의학과의원 주소는 서울특별시 강남구 삼성로 651, 501호 (삼성동, 래미안 라클래시) 전화번호는 02-517-6993 입니다."
50,서울 강남구 논현동,"병원명은 나누리병원 주소는 서울특별시 강남구 언주로 731, 나누리병원 (논현동) 전화번호는 1688-9797 입니다."
51,서울 강남구 신사동,"병원명은 네오한의원 주소는 서울특별시 강남구 논현로164길 16-6, 2층 (신사동) 전화번호는 02-545-4523 입니다."
52,서울 강남구 논현동,"병원명은 다나아의원 주소는 서울특별시 강남구 선릉로 641, (논현동, 204호) 전화번호는 02-547-7100 입니다."
53,서울 강남구 삼성동,"병원명은 다소니의원 주소는 서울특별시 강남구 봉은사로73길 5, 3층 (삼성동) 전화번호는 02-6497-5200 입니다."
54,서울 강남구 신사동,"병원명은 닥터김가정의학과의원 주소는 서울특별시 강남구 압구정로 140, 현대빌딩 2층 (신사동) 전화번호는 02-542-2684 입니다."
55,서울 강남구 논현동,"병원명은 닥터홍내과의원 주소는 서울특별시 강남구 도산대로38길 16, (논현동) 전화번호는 02-541-5400 입니다."
56,서울 강남구 논현동,"병원명은 담소유병원 주소는 서울특별시 강남구 학동로 234, 담소유빌딩 (논현동) 전화번호는 02-542-2222 입니다."
57,서울 강남구 신사동,"병원명은 대영성형외과의원 주소는 서울특별시 강남구 압구정로 338, (신사동) 전화번호는 02-3446-7788 입니다."
58,서울 강남구 대치동,"병원명은 대치더블유내과의원 주소는 서울특별시 강남구 도곡로 438, 6층 (대치동, 삼아빌딩 ) 전화번호는 02-539-9939 입니다."
59,서울 강남구 대치동,"병원명은 대치서울영재소아청소년과의원 주소는 서울특별시 강남구 도곡로 515, 2층 (대치동, 한도산업사옥) 전화번호는 02-566-8781 입니다."
60,서울 강남구 대치동,"병원명은 대치제이엠가정의학과의원 주소는 서울특별시 강남구 삼성로 155, 대치페스트빌딩 2층 218~222호 (대치동) 전화번호는 02-2039-7588 입니다."
61,서울 강남구 역삼동,"병원명은 대화당한의원 주소는 서울특별시 강남구 테헤란로25길 11, 3층 (역삼동) 전화번호는 02-557-0122 입니다."
62,서울 강남구 역삼동,"병원명은 더편한현내과의원 주소는 서울특별시 강남구 도곡로 323, 다른빌딩 2층 (역삼동) 전화번호는 02-563-7588 입니다."
63,서울 강남구 대치동,"병원명은 더푸른이비인후과의원 주소는 서울특별시 강남구 도곡로 409, 401호 (대치동, 타워엠프리스) 전화번호는 02-564-1053 입니다."
64,서울 강남구 일원동,"병원명은 더힐가정의학과의원 주소는 서울특별시 강남구 영동대로 22, S401-0413,0414,0415호 (일원동, 디에이치 자이 개포) 전화번호는 02-6953-9549 입니다."
65,서울 강남구 도곡동,"병원명은 도곡예원이비인후과의원 주소는 서울특별시 강남구 선릉로 225, 도곡렉슬상가 2층 213호일부, 214호 (도곡동) 전화번호는 02-579-2300 입니다."
66,서울 강남구 도곡동,"병원명은 도곡함춘산부인과의원 주소는 서울특별시 강남구 논현로 142, 동현빌딩 2~6층 (도곡동) 전화번호는 02-1661-9722 입니다."
67,서울 강남구 일원동,"병원명은 동선소아과의원 주소는 서울특별시 강남구 양재대로55길 6, 수서1단지아파트 상가 312-1호 (일원동) 전화번호는 02-459-4500 입니다."
68,서울 강남구 신사동,"병원명은 디엠피부과의원 주소는 서울특별시 강남구 압구정로 158, 진우빌딩 4층 (신사동) 전화번호는 02-3445-0803 입니다."
69,서울 강남구 도곡동,"병원명은 루세로내과의원 주소는 서울특별시 강남구 선릉로 227, 진달래상가,  301호 (도곡동) 전화번호는 02-3463-5120 입니다."
70,서울 강남구 개포동,"병원명은 리더스내과가정의학과의원 주소는 서울특별시 강남구 논현로 98, 문화빌딩 2층 (개포동) 전화번호는 02-573-8188 입니다."
71,서울 강남구 신사동,"병원명은 리붐내과의원 주소는 서울특별시 강남구 압구정로 130, 2층 (신사동) 전화번호는 02-512-6630 입니다."
72,서울 강남구 대치동,"병원명은 맑은숲이비인후과의원 주소는 서울특별시 강남구 삼성로 233, 신사빌딩 2층 (대치동) 전화번호는 02-2135-3890 입니다."
73,서울 강남구 신사동,"병원명은 메디올의원 주소는 서울특별시 강남구 강남대로 616, (신사동, 미타워빌딩 301) 전화번호는 02-517-2198 입니다."
74,서울 강남구 신사동,"병원명은 메디컬보이스이비인후과의원 주소는 서울특별시 강남구 압구정로 314, YOHAN빌딩 3층 (신사동) 전화번호는 02-515-5010 입니다."
75,서울 강남구 역삼동,"병원명은 모리의원 주소는 서울특별시 강남구 선릉로 431, 에스케이허브오피스텔 301,302,303호 (역삼동) 전화번호는 02-562-8878 입니다."
76,서울 강남구 역삼동,"병원명은 무지개의원 주소는 서울특별시 강남구 논현로 409, 2층 (역삼동) 전화번호는 02-553-4188 입니다."
77,서울 강남구 신사동,"병원명은 문찬수내과의원 주소는 서울특별시 강남구 압구정로 108, (신사동, 덕산빌딩 201호,207호) 전화번호는 02-518-6080 입니다."
78,서울 강남구 신사동,"병원명은 미래이비인후과의원 주소는 서울특별시 강남구 논현로 839, 외1필지3층 (신사동) 전화번호는 02-512-6165 입니다."
79,서울 강남구 역삼동,"병원명은 민이비인후과의원 주소는 서울특별시 강남구 테헤란로26길 10, 성보빌딩 2층 (역삼동) 전화번호는 02-501-2250 입니다."
80,서울 강남구 자곡동,"병원명은 민트이비인후과의원 주소는 서울특별시 강남구 자곡로 201, 201호,202호 (자곡동, 강남더샵라르고빌딩) 전화번호는 02-3414-0075 입니다."
81,서울 강남구 대치동,"병원명은 바른길정형외과의원 주소는 서울특별시 강남구 도곡로 408, 디마크 빌딩 2층 (대치동) 전화번호는 02-6959-0680 입니다."
82,서울 강남구 대치동,"병원명은 박소배내과의원 주소는 서울특별시 강남구 남부순환로 2935, (대치동) 전화번호는 02-566-6866 입니다."
83,서울 강남구 수서동,"병원명은 박소아청소년과의원 주소는 서울특별시 강남구 광평로19길 10, 205호 (수서동, 까치마을상가) 전화번호는 02-2226-1223 입니다."
84,서울 강남구 도곡동,"병원명은 박자룡이비인후과의원 주소는 서울특별시 강남구 남부순환로 2615, 212~213호 (도곡동, 극동스타클래스) 전화번호는 02-3463-3546 입니다."
85,서울 강남구 일원동,"병원명은 박종진이비인후과의원 주소는 서울특별시 강남구 일원로 33, 금성빌딩 (일원동) 전화번호는 02-2226-5973 입니다."
86,서울 강남구 개포동,"병원명은 박현태내과의원 주소는 서울특별시 강남구 개포로 224, 준빌딩 (개포동) 전화번호는 02-578-9191 입니다."
87,서울 강남구 청담동,"병원명은 베스트원의원 주소는 서울특별시 강남구 학동로 443, 정한빌딩 5층 (청담동) 전화번호는 02-540-2646 입니다."
88,서울 강남구 논현동,"병원명은 베스트이화의원 주소는 서울특별시 강남구 강남대로122길 47, 2층 (논현동) 전화번호는 02-544-2979 입니다."
89,서울 강남구 압구정동,"병원명은 보통의의원 주소는 서울특별시 강남구 압구정로29길 65, 442빌딩, 3층일부 (압구정동) 전화번호는 02-517-3650 입니다."
90,서울 강남구 역삼동,"병원명은 본앤미의원 주소는 서울특별시 강남구 테헤란로 156, 역삼역 B1층 221-102호 (역삼동) 전화번호는 02-2568-8520 입니다."
91,서울 강남구 개포동,"병원명은 봄빛의원 주소는 서울특별시 강남구 개포로 223, 우덕빌딩 3층 (개포동) 전화번호는 02-577-0296 입니다."
92,서울 강남구 논현동,"병원명은 비에비스나무병원 주소는 서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,12층 (논현동) 전화번호는 1577-7502 입니다."
93,서울 강남구 논현동,"병원명은 비타민의원 주소는 서울특별시 강남구 학동로 342, (논현동, SK허브 302호) 전화번호는 02-543-2005 입니다."
94,서울 강남구 대치동,"병원명은 삼성드림이비인후과의원 주소는 서울특별시 강남구 테헤란로 514, 5층 (대치동, 삼흥제2빌딩) 전화번호는 02-565-7365 입니다."
95,서울 강남구 삼성동,"병원명은 삼성밸런스의원 주소는 서울특별시 강남구 봉은사로 469, 3,5,6층 (삼성동) 전화번호는 02-725-8275 입니다."
96,서울 강남구 삼성동,"병원명은 삼성베스트내과의원 주소는 서울특별시 강남구 테헤란로81길 22, 4층 (삼성동, 구암빌딩) 전화번호는 02-555-8535 입니다."
97,서울 강남구 일원동,"병원명은 삼성우리내과의원 주소는 서울특별시 강남구 일원로 37, 하나은행 일원중앙 5층 1호 (일원동) 전화번호는 02-3411-5335 입니다."
98,서울 강남구 개포동,"병원명은 삼성키즈소아청소년과의원 주소는 서울특별시 강남구 선릉로 26, JS빌딩 3층 (개포동) 전화번호는 02-579-2111 입니다."
99,서울 강남구 논현동,"병원명은 서울ND(엔디)의원 주소는 서울특별시 강남구 선릉로 641, 3층 302, 303호 (논현동) 전화번호는 02-3443-9920 입니다."
100,서울 강남구 도곡동,"병원명은 서울강남재활의학과의원 주소는 서울특별시 강남구 선릉로 227, 102호 (도곡동) 전화번호는 02-573-7573 입니다."
101,서울 강남구 도곡동,"병원명은 서울귀감이비인후과의원 주소는 서울특별시 강남구 강남대로 238, 스카이쏠라빌딩 8~9층 (도곡동) 전화번호는 02-529-9997 입니다."
102,서울 강남구 대치동,"병원명은 서울박내과의원 주소는 서울특별시 강남구 남부순환로397길 57, 4,5,6층 (대치동, 대치메디칼센터) 전화번호는 02-557-9570 입니다."
103,서울 강남구 역삼동,"병원명은 서울배내과의원 주소는 서울특별시 강남구 논현로 509, 송암II빌딩 2,4층 (역삼동) 전화번호는 02-529-3002 입니다."
104,서울 강남구 역삼동,"병원명은 서울베스트외과의원 주소는 서울특별시 강남구 테헤란로 109, 강남제일빌딩 7층 (역삼동) 전화번호는 02-566-2030 입니다."
105,서울 강남구 자곡동,"병원명은 서울베스트의원 주소는 서울특별시 강남구 자곡로3길 21, (자곡동, LH강남힐스테이트상가 B201호) 전화번호는 02-3411-9500 입니다."
106,서울 강남구 도곡동,"병원명은 서울본브릿지병원 주소는 서울특별시 강남구 도곡로 214, 롤스웰빌딩,지하2층, 지하1층, 지상1층 일부, 지상2~7층  (도곡동) 전화번호는 02-1899-0090 입니다."
107,서울 강남구 일원동,"병원명은 서울삼성내과의원 주소는 서울특별시 강남구 일원로 115, 삼성생명 일원역 빌딩 2층 204-3호 (일원동) 전화번호는 02-445-7070 입니다."
108,서울 강남구 논현동,"병원명은 서울수면의원 주소는 서울특별시 강남구 논현로 704, 우성 빌딩 2층 (논현동) 전화번호는 02-511-0777 입니다."
109,서울 강남구 논현동,"병원명은 서울연세21세기의원 주소는 서울특별시 강남구 강남대로128길 20, 영동프라자 2층 206호 (논현동) 전화번호는 02-512-5121 입니다."
110,서울 강남구 대치동,"병원명은 서울연세의원 주소는 서울특별시 강남구 영동대로 210, 쌍용대치종합상가 2층 201A호 (대치동, 쌍용아파트) 전화번호는 정보없음 입니다."
111,서울 강남구 역삼동,"병원명은 서울제이소아청소년과의원 주소는 서울특별시 강남구 언주로 309, 기성빌딩 6층 (역삼동) 전화번호는 02-538-3194 입니다."
112,서울 강남구 수서동,"병원명은 서정민이비인후과의원 주소는 서울특별시 강남구 밤고개로1길 10, 수서현대벤쳐빌 205,206호 (수서동) 전화번호는 02-2040-7585 입니다."
113,서울 강남구 역삼동,"병원명은 선능필내과의원 주소는 서울특별시 강남구 테헤란로 339, 2층 (역삼동) 전화번호는 02-539-8867 입니다."
114,서울 강남구 역삼동,"병원명은 선릉다나아이비인후과의원 주소는 서울특별시 강남구 테헤란로 310, 두꺼비빌딩 3층 (역삼동) 전화번호는 02-545-7799 입니다."
115,서울 강남구 역삼동,"병원명은 선한목자병원 주소는 서울특별시 강남구 논현로 507, (역삼동, 성지하이츠3차빌딩 2층,3층일부) 전화번호는 02-557-1004 입니다."
116,서울 강남구 개포동,"병원명은 성모바른의원 주소는 서울특별시 강남구 삼성로 38, 개포빌딩 3층 303호 (개포동) 전화번호는 02-3411-8575 입니다."
117,서울 강남구 수서동,"병원명은 성모봄소아청소년과의원 주소는 서울특별시 강남구 광평로 196, 2층 203호 (수서동, 제이스프라자) 전화번호는 02-459-9990 입니다."
118,서울 강남구 삼성동,"병원명은 성모진이비인후과의원 주소는 서울특별시 강남구 삼성로 651, 4층 401호 (삼성동, 래미안 라클래시) 전화번호는 02-518-3757 입니다."
119,서울 강남구 세곡동,"병원명은 세곡달빛의원 주소는 서울특별시 강남구 헌릉로569길 27, 2층 (세곡동, 2층일부(201-2호,202호)) 전화번호는 02-459-0119 입니다."
120,서울 강남구 신사동,"병원명은 세실내과의원 주소는 서울특별시 강남구 압구정로36길 7, 3층일부, 4층 (신사동) 전화번호는 02-3442-2891 입니다."
121,서울 강남구 역삼동,"병원명은 세연내과의원 주소는 서울특별시 강남구 논현로 340, 2층일부 (역삼동) 전화번호는 02-567-4305 입니다."
122,서울 강남구 신사동,"병원명은 세연마취통증의학과의원 주소는 서울특별시 강남구 강남대로 616, 신사미타워B101,B102,B103,702호,16층 (신사동) 전화번호는 02-548-4711 입니다."
123,서울 강남구 역삼동,"병원명은 센텀메디의원 주소는 서울특별시 강남구 선릉로63길 9, 백림빌딩 2층 (역삼동) 전화번호는 02-552-0700 입니다."
124,서울 강남구 역삼동,"병원명은 셀피아의료생활협동조합셀피아의원 주소는 서울특별시 강남구 언주로 413, 태현빌딩 1-2층 (역삼동) 전화번호는 02-1833-8899 입니다."
125,서울 강남구 청담동,"병원명은 소리이비인후과의원 주소는 서울특별시 강남구 학동로 435, 지하1,2,4층 (청담동) 전화번호는 02-542-5222 입니다."
126,서울 강남구 일원동,"병원명은 소망이비인후과의원 주소는 서울특별시 강남구 일원로 39, 대원빌딩 3층 2호 (일원동) 전화번호는 02-2226-5055 입니다."
127,서울 강남구 개포동,"병원명은 송영명소아과의원 주소는 서울특별시 강남구 선릉로10길 5, 2층 (개포동) 전화번호는 02-573-6227 입니다."
128,서울 강남구 수서동,"병원명은 수서가정의학과의원 주소는 서울특별시 강남구 광평로51길 49, 207호 (수서동, 주공1단지상가 ) 전화번호는 02-459-6688 입니다."
129,서울 강남구 수서동,"병원명은 수서서울이비인후과의원 주소는 서울특별시 강남구 밤고개로1길 10, 수서현대벤쳐빌 2층 218호 (수서동) 전화번호는 02-445-9224 입니다."
130,서울 강남구 자곡동,"병원명은 수앤정소아청소년과의원 주소는 서울특별시 강남구 자곡로 120, 3층 303,304호 (자곡동, 세곡드림프라자) 전화번호는 02-459-8875 입니다."
131,서울 강남구 역삼동,"병원명은 수이비인후과의원 주소는 서울특별시 강남구 테헤란로 328, 동우빌딩 401,402호 (역삼동) 전화번호는 02-508-4823 입니다."
132,서울 강남구 논현동,"병원명은 신내과의원 주소는 서울특별시 강남구 학동로 342, 408호 (논현동) 전화번호는 02-545-1287 입니다."
133,서울 강남구 신사동,"병원명은 신사우리베스트내과의원 주소는 서울특별시 강남구 강남대로 652, 6층 (신사동) 전화번호는 02-6958-8676 입니다."
134,서울 강남구 삼성동,"병원명은 아비스가정의학과의원 주소는 서울특별시 강남구 봉은사로 471, 204-2,205,202-2,203일부호 (삼성동) 전화번호는 02-511-9085 입니다."
135,서울 강남구 삼성동,"병원명은 아셈내과의원 주소는 서울특별시 강남구 영동대로 602, 5층 501호 (삼성동, 미켈란107빌딩 ) 전화번호는 02-551-8275 입니다."
136,서울 강남구 신사동,"병원명은 아이엠씨강남의원 주소는 서울특별시 강남구 도산대로 107, 8층일부,지하1층 (신사동) 전화번호는 02-523-7200 입니다."
137,서울 강남구 대치동,"병원명은 안효승내과의원 주소는 서울특별시 강남구 선릉로 406, 4층 (대치동) 전화번호는 02-6223-8000 입니다."
138,서울 강남구 신사동,"병원명은 압구정휴내과의원 주소는 서울특별시 강남구 선릉로 843, 202호 (신사동) 전화번호는 02-3448-9955 입니다."
139,서울 강남구 개포동,"병원명은 약선당한의원 주소는 서울특별시 강남구 개포로 512, 개포종합상가 2층 201호 (개포동) 전화번호는 02-459-7888 입니다."
140,서울 강남구 도곡동,"병원명은 양재내과의원 주소는 서울특별시 강남구 강남대로 238, 스카이쏠라빌딩 6층 (도곡동) 전화번호는 02-575-5975 입니다."
141,서울 강남구 논현동,"병원명은 에스원이비인후과의원 주소는 서울특별시 강남구 강남대로 598, 보림빌딩 6층 (논현동) 전화번호는 02-516-8871 입니다."
142,서울 강남구 역삼동,"병원명은 엠제이의원 주소는 서울특별시 강남구 도곡로 115, 거암빌딩 3,4층 (역삼동) 전화번호는 02-555-3943 입니다."
143,서울 강남구 역삼동,"병원명은 역삼생생본의원·한의원 주소는 서울특별시 강남구 논현로93길 3, 호양빌딩 2,3,4,5,6층 (역삼동) 전화번호는 02-564-7588 입니다."
144,서울 강남구 역삼동,"병원명은 역삼성모내과의원 주소는 서울특별시 강남구 논현로 327, 2층 (역삼동) 전화번호는 02-539-0078 입니다."
145,서울 강남구 역삼동,"병원명은 역삼이창훈이비인후과의원 주소는 서울특별시 강남구 논현로 503, 701호 (역삼동, 송촌빌딩) 전화번호는 02-564-5647 입니다."
146,서울 강남구 역삼동,"병원명은 역삼한의원 주소는 서울특별시 강남구 도곡로21길 18, 삼정빌딩 3층 (역삼동) 전화번호는 02-539-6796 입니다."
147,서울 강남구 삼성동,"병원명은 연세고른숨이비인후과의원 주소는 서울특별시 강남구 테헤란로 401, 남경센타 10층 2호 (삼성동) 전화번호는 0507-1397-9449 입니다."
148,서울 강남구 역삼동,"병원명은 연세기쁜내과의원 주소는 서울특별시 강남구 역삼로 247, 홍진빌딩 2층 (역삼동) 전화번호는 02-3454-1715 입니다."
149,서울 강남구 역삼동,"병원명은 연세다엘마취통증의학과내과의원 주소는 서울특별시 강남구 논현로 561, 2,3,4층 (역삼동) 전화번호는 02-6205-0892 입니다."
150,서울 강남구 역삼동,"병원명은 연세라파의원 주소는 서울특별시 강남구 역삼로 310, 한솔필리아 2층 19호, 20호 (역삼동) 전화번호는 02-931-1051 입니다."
151,서울 강남구 대치동,"병원명은 연세맑은이비인후과송소아청소년과의원 주소는 서울특별시 강남구 남부순환로 2927, 207,307호 (대치동, 대치클래시아) 전화번호는 02-566-5525 입니다."
152,서울 강남구 역삼동,"병원명은 연세맑은이비인후과의원 주소는 서울특별시 강남구 논현로 511, 3층 (역삼동, YandC빌딩) 전화번호는 02-508-5050 입니다."
153,서울 강남구 수서동,"병원명은 연세본정형외과의원 주소는 서울특별시 강남구 밤고개로1길 10, 수서현대벤쳐빌 2층 213호,214호,광평로51길 49,203호호 (수서동) 전화번호는 02-2040-6780 입니다."
154,서울 강남구 논현동,"병원명은 연세봄이비인후과의원 주소는 서울특별시 강남구 봉은사로 331, SH타워 2층 (논현동) 전화번호는 02-3446-6177 입니다."
155,서울 강남구 삼성동,"병원명은 연세선우의원 주소는 서울특별시 강남구 학동로 504, 2층 201호 (삼성동) 전화번호는 02-563-1469 입니다."
156,서울 강남구 대치동,"병원명은 연세성모내과의원 주소는 서울특별시 강남구 선릉로 340, 대치 EM 프라자 5층 505호 (대치동) 전화번호는 02-564-8575 입니다."
157,서울 강남구 개포동,"병원명은 연세수이비인후과의원 주소는 서울특별시 강남구 개포로 615, 306호 (개포동, 석탑프라자) 전화번호는 02-445-7593 입니다."
158,서울 강남구 대치동,"병원명은 연세신앤송이비인후과의원 주소는 서울특별시 강남구 테헤란로78길 8, 7층 (대치동, 현빌딩) 전화번호는 02-553-3902 입니다."
